animeTitle	Xiang Ling Ji
animeType	ONA
animeNumEpisode	15
releaseDate	2017-03-22 00:00:00
endDate	2017-08-16 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	491
animeRank	
animePopularity	9557
animeDescription	"The 19-year-old tomboy exorcist Hua Jiu got to know 'evil spirit' Seven Lord and forced him to be her spirit servant when cleansing spirits. Later the human being and the spirit set forth on a journey of ranting each other and cleansing spirits. However, Hua Jiu's enemy started insidious revenge at the same time... 

(Source: Donghua List)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
