animeTitle	b'Cheonbangjichuk Hani'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Sequel of Dallyeola Hani.\n\nHany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast!\n\n(Source: Cute in Korea)'
animeRelated	[b'Dallyeola Hani']
animeCharacters	[b'Hany', b'Hong, Du-Kaek']
animeVoices	[]
animeStaff	[]
