animeTitle	Fate/stay night
animeType	TV
animeNumEpisode	24
releaseDate	2006-01-07 00:00:00
endDate	2006-06-17 00:00:00
animeNumMembers	
animeScore	7.3
animeUsers	442367
animeRank	
animePopularity	136
animeDescription	"After a mysterious inferno kills his family, Shirou is saved and adopted by Kiritsugu Emiya, who teaches him the ways of magic and justice.

One night, years after Kiritsugu's death, Shirou is cleaning at school, when he finds himself caught in the middle of a deadly encounter between two superhumans known as Servants. During his attempt to escape, the boy is caught by one of the Servants and receives a life-threatening injury. Miraculously, he survives, but the same Servant returns to finish what he started. In desperation, Shirou summons a Servant of his own, a knight named Saber. The two must now participate in the Fifth Holy Grail War, a battle royale of seven Servants and the mages who summoned them, with the grand prize being none other than the omnipotent Holy Grail itself.

Fate/stay night follows Shirou as he struggles to find the fine line between a hero and a killer, his ideals clashing with the harsh reality around him. Will the boy become a hero like his foster father, or die trying?

[Written by MAL Rewrite]"
animeRelated	"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/Prototype', 'Fate/stay night: Unlimited Blade Works', ""Fate/stay night Movie: Heaven's Feel - I. Presage Flower"", 'Fate/stay night TV Reproduction', 'Carnival Phantasm', 'Fate/Zero 2nd Season', 'Fate/kaleid liner Prisma☆Illya', 'Fate/Extra: Last Encore', 'Fate/Grand Order: First Order', 'Fate/Apocrypha', 'Emiya-san Chi no Kyou no Gohan']"
animeCharacters	['Saber', 'Toosaka, Rin', 'Archer', 'Emiya, Shirou', 'Emiya, Kiritsugu', 'Gilgamesh', 'Matou, Sakura', 'von Einzbern, Illyasviel', 'Kotomine, Kirei', 'Lancer']
animeVoices	['Kawasumi, Ayako', 'Ueda, Kana', 'Suwabe, Junichi', 'Sugiyama, Noriaki', 'Koyama, Rikiya', 'Seki, Tomokazu', 'Shitaya, Noriko', 'Kadowaki, Mai', 'Nakata, Jouji', 'Canna, Nobutoshi']
animeStaff	[['Yamaguchi, Yuuji', 'Director, Episode Director, Storyboard'], ['Yoshida, Shunji', 'Episode Director'], ['Ueda, Shigeru', 'Episode Director'], ['Okada, Mari', 'Script']]
