animeTitle	Majo no Tabitabi
animeType	TV
animeNumEpisode	12
releaseDate	2020-10-02 00:00:00
endDate	2020-12-18 00:00:00
animeNumMembers	
animeScore	7.55
animeUsers	119779
animeRank	
animePopularity	614
animeDescription	"Since childhood, Elaina has always been fascinated by the stories written within her favorite book, especially those about Nike, a renowned witch who had numerous great travels across the world. Wanting to experience the awe of adventure herself, Elaina strives to become a witch, and despite the numerous trials that come her way, she eventually succeeds.

Now a full-fledged witch, Elaina finally embarks on her long-awaited journey, in which she meets many people along the way, learning their various stories. Through all of this, she explores the world at its fullest—experiencing both its bright and dark sides—starting her legendary tale.

[Written by MAL Rewrite]"
animeRelated	['Majo no Tabitabi', 'Haiiro no Saga']
animeCharacters	['Elaina', 'Saya', 'Flan', 'Sheila', 'Mina', 'Nino', 'Mirarosé', 'Emil', 'Victorica', 'Younger Sister']
animeVoices	['Hondo, Kaede', 'Kurosawa, Tomoyo', 'Hanazawa, Kana', 'Hikasa, Youko', 'Takahashi, Minami', 'Satou, Satomi', 'Lynn', 'Ichikawa, Aoi', 'Itou, Shizuka', 'Tatsumi, Yuiko']
animeStaff	[['Kubooka, Toshiyuki', 'Director'], ['Fujita, Akiko', 'Sound Director'], ['Ueda, Reina', 'Theme Song Performance'], ['ChouCho', 'Theme Song Performance']]
