animeTitle	b'Omoide no Marnie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.07
animeUsers	122519
animeRank	
animePopularity	
animeDescription	"b""Suffering from frequent asthma attacks, young Anna Sasaki is quiet, unsociable, and isolated from her peers, causing her foster parent endless worry. Upon recommendation by the doctor, Anna is sent to the countryside, in hope that the cleaner air and more relaxing lifestyle will improve her health and help clear her mind. Engaging in her passion for sketching, Anna spends her summer days living with her aunt and uncle in a small town near the sea.\n\nOne day while wandering outside, Anna discovers an abandoned mansion known as the Marsh House. However, she soon finds that the residence isn't as vacant as it appears to be, running into a mysterious girl named Marnie. Marnie's bubbly demeanor slowly begins to draw Anna out of her shell as she returns night after night to meet with her new friend. But it seems there is more to the strange girl than meets the eye\xe2\x80\x94as her time in the town nears its end, Anna begins to discover the truth behind the walls of the Marsh House.\n\nOmoide no Marnie tells the touching story of a young girl's journey through self-discovery and friendship, and the summer that she will remember for the rest of her life.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Sasaki, Anna', b'Marnie', b'Toichi', b'Hisako', b'Ooiwa, Setsu', b'Sayaka', b'Elderly Lady', b'Miyoko', b'Sasaki, Yoriko', b'Ooiwa, Kiyomasa']
animeVoices	[b'\nTakatsuki, Sara\nJapanese\n', b'\nArimura, Kasumi\nJapanese\n', b'\nYasuda, Ken\nJapanese\n', b'\nKuroki, Hitomi\nJapanese\n', b'\nNegishi, Toshie\nJapanese\n', b'\nSugisaki, Hana\nJapanese\n', b'\nMoriyama, Ryouko\nJapanese\n', b'\nMatsushima, Nanako\nJapanese\n', b'\nTerajima, Susumu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishimura, Yoshiaki\n\nProducer\n\n', b'\nYonebayashi, Hiromasa\n\nDirector, Script\n\n', b'\nKasamatsu, Kouji\n\nSound Director\n\n', b'\nAndou, Masashi\n\nScript, Screenplay, Animation Director, Character Design\n\n']
