animeTitle	b'Gendai Kibunroku Kaii Monogatari'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The horrid stories that remain in many conversations, the chilling urban legends come to life thanks to the Ga-nime.\n\nThe terrible anecdote of an old fridge thrown by a dried up river bed in \xe2\x80\x9cRefrigerator\xe2\x80\x9d.\n The grotesque encounter with an out of place sculpture standing on top of a building in \xe2\x80\x9cThe Dharma Statue\xe2\x80\x9d.\n The ghost encounter experience by a boy on a long bridge at night in \xe2\x80\x9cThe Night Bridge\xe2\x80\x9d \nA purchase at the flea market that brings a man to an ironic end in \xe2\x80\x9cUS Army Surplus\xe2\x80\x9d\n The enigma of continuous deadly accidents near a railroad in \xe2\x80\x9cThe Railroad Crossing\xe2\x80\x9d \nThe mysterious experience of a boy on summer vacation in a peaceful countryside in \xe2\x80\x9cI Want Friends\xe2\x80\x9d. \n\n6 pieces of horror put on 1 film. The Japanese urban legends, put on screen in the characteristic drawing of KIMURA Toshiyuki, whose fame reaches outside the borders of Japan, call for a scream, with the talented collaboration for the ending theme of an artist produced by SUDOH Akira, Leilani. \n\n(Source: Toei-anim.co.jp)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
