animeTitle	Bikini Warriors
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-08 00:00:00
endDate	2015-09-23 00:00:00
animeNumMembers	
animeScore	5.13
animeUsers	33064
animeRank	
animePopularity	1955
animeDescription	"When darkness threatens the world, four heroines hold the only hope for salvation—if they can even manage to get out of the first town, that is. Bikini Warriors follows a party of beautiful adventurers in revealing armor: courageous Fighter, airheaded Paladin, timid Mage, and alluring Darkelf. But can you really be an adventurer if you don't get going on an adventure?

Our heroines are eternally broke, insufferably vain, and frequently outmatched by the dangers of their world. Between fleeing dungeons and robbing peasants, the unlikely heroes will have to learn to live with each other before they can survive a battle with ultimate evil!"
animeRelated	['Bikini Warriors', 'Bikini Warriors Special']
animeCharacters	['Mage', 'Paladin', 'Fighter', 'Dark Elf', 'Deathgeld', 'Valkyrie', 'Hunter']
animeVoices	['Kakuma, Ai', 'Ueda, Kana', 'Hikasa, Youko', 'Takahashi, Chiaki', 'Takeuchi, Shunsuke', 'Itou, Shizuka', 'Numakura, Manami']
animeStaff	[['Kuzuya, Naoyuki', 'Director'], ['Enomoto, Takahiro', 'Sound Director'], ['Tamai, Tsuyoshi', 'Script, Series Composition'], ['Taka, Tony', 'Original Character Design']]
