animeTitle	Fake Style
animeType	Music
animeNumEpisode	1
releaseDate	2013-12-06 00:00:00
endDate	
animeNumMembers	430
animeScore	6.04
animeUsers	246
animeRank	8468
animePopularity	13380
animeDescription	A music video for the band Fake Type.'s song Fake Style.
animeRelated	['Fake Style II', 'La Primavera', 'Urban Caravan', 'Witch Hat: Majo to Boushi no Waltz', 'Beelzebuz']
animeCharacters	['Topham, Kyo', 'Iwasaki, Dyes']
animeVoices	[]
animeStaff	[]
