animeTitle	Touma Kishinden Oni
animeType	TV
animeNumEpisode	25
releaseDate	1995-10-05 00:00:00
endDate	1996-03-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11604
animeDescription	"Shuramaru is hated and feared by the villagers for his unusual powers. He thinks he is human, but... is he?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Musashi', 'Ayahito', 'Misao', 'Moegi', 'Shuramaru']
animeVoices	['Ookawa, Tooru', 'Kase, Yasuyuki', 'Okamura, Akemi', 'Hikami, Kyouko', 'Ishida, Akira']
animeStaff	[['Suzuki, Iku', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Hayakawa, Natsuko', 'Script, Original Creator']]
