animeTitle	Chou Yuu Sekai: Being the Reality
animeType	ONA
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	2815
animeRank	
animePopularity	4449
animeDescription	"A hot-blooded high school teen, a mysterious female swordsman, and an unpredictable dark emo girl. It's impossible to distinguish between reality and the game world! What kind of conspiracy is awaiting them in this super journey of the world!

(Source: MAL News)"
animeRelated	[]
animeCharacters	"['Haki', 'Motis', 'Noi', 'Cass', 'Vinsen', 'Ryu', ""Saber's Captain"", 'Viros', 'Mounsuto', 'Chinnou']"
animeVoices	['Yamamoto, Kazutomi', 'Ikuta, Yoshiko', 'Horie, Shun', 'Kubo, Yurika', 'Adachi, Yuuki', 'Katou, Emiri', 'Yano, Masaaki', 'Koyasu, Takehito', 'Iida, Riho', 'Yashima, Sarara']
animeStaff	[['Tsuji, Hatsuki', 'Director'], ['Imaizumi, Yuuichi', 'Sound Director'], ['Iida, Riho', 'Theme Song Performance'], ['Miyamae, Mitsuharu', 'Art Director']]
