animeTitle	Lupin III: Moeyo Zantetsuken!
animeType	Special
animeNumEpisode	1
releaseDate	1994-07-29 00:00:00
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	2979
animeRank	
animePopularity	6144
animeDescription	"A Hong Kong crime boss contracts Lupin, Fujiko and Jigen to recover a legendary dragon statue that sunk with the Titanic. Unfortunately for them, the dragon is a treasure of Goemon's clan, said to have power exceeding that of his Zantetsuken sword; he resolves to protect the statue at all costs, even if it means killing his old friends. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Kikyo', 'Gensei', 'Chou, Chin Chin']
animeVoices	['Yamada, Yasuo', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Matsui, Naoko', 'Ginga, Banjou', 'Takiguchi, Junpei']
animeStaff	[['Sabat, Christopher', 'Producer'], ['Watson, Barry', 'Producer'], ['Okuwaki, Masaharu', 'Director, Storyboard'], ['Vale, Eric', 'Script']]
