animeTitle	Shamanic Princess
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	3910
animeRank	
animePopularity	5167
animeDescription	"From the Guardian World, home of mages, Tiara has been sent on a mission: recover the stolen Throne of Yord, the most powerful magic artifact of all. But Tiara finds herself in a dilemma—the Throne has been taken by her former lover, and there is more to the situation than meets the eye... 

(Source: ANN)"
animeRelated	['Mahoutsukai Tai! vs. Shamanic Princess']
animeCharacters	['Tiara', 'Lena', 'Graham', 'Japolo', 'Sara', 'Leon', 'Kagetsu']
animeVoices	['Sayuri', 'Yayoi, Mitsuki', 'Matsumoto, Rica', 'Sakurai, Tomo', 'Yuuki, Hiro', 'Yamadera, Kouichi']
animeStaff	[['Hongou, Mitsuru', 'Producer, Director, Script, Storyboard, Original Creator'], ['Nishimura, Hiroyuki', 'Director, Script, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Suo, Yoshikazu', 'Theme Song Arrangement, Theme Song Composition, Music']]
