animeTitle	Ame-iro Cocoa: Side G
animeType	TV
animeNumEpisode	12
releaseDate	2019-01-09 00:00:00
endDate	2019-03-27 00:00:00
animeNumMembers	
animeScore	4.85
animeUsers	2395
animeRank	
animePopularity	5785
animeDescription	"In the fifth season of the Ame-iro Cocoa series Youko, the daughter of the Rainy Color cafe's owner Kouji Amami, takes over as the acting manager of the cafe.

(Source: ANN)"
animeRelated	['Ame-iro Cocoa Series: Ame-con!!']
animeCharacters	['Amami, Youko', 'Keito', 'Amami, Kouji']
animeVoices	[]
animeStaff	[['Ishii, Hisashi', 'Director'], ['Tachibana, Rika', 'Theme Song Performance']]
