animeTitle	Jian Wangchao
animeType	ONA
animeNumEpisode	12
releaseDate	2017-04-26 00:00:00
endDate	2017-07-05 00:00:00
animeNumMembers	
animeScore	5.98
animeUsers	326
animeRank	
animePopularity	8927
animeDescription	"The story takes place in the twilight years of the Qin Dynasty, and follows a young man who will dismantle the Qin Dynasty and create the Sword Dynasty.

(Source: ANN)"
animeRelated	['Jian Wangchao 2']
animeCharacters	['Chen, Jianshou', 'Dingning']
animeVoices	[]
animeStaff	[]
