animeTitle	Issho ni H Shiyo
animeType	OVA
animeNumEpisode	6
releaseDate	2009-12-20 00:00:00
endDate	2011-12-09 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	3151
animeRank	
animePopularity	5458
animeDescription	"Your childhood friend has no place to spend the night. She asks you if she could stay at your place. You obviously agree. She comes a little drunk and upon seeing that you have no girlfriend and fap only to hentai (tissues), she decides to make you a man. 

(Source: AniDB)"
animeRelated	['Akina to Onsen de H Shiyo!']
animeCharacters	['Miyazawa, Akina', 'Hamada, Yui', 'Natsukawa, Hina', 'Fukunaga, Aoi', 'Tsuji, Suzuran', 'Futaba, Yuuki', 'Takai, Haruka']
animeVoices	['Tanaka, Ryouko', 'Enokizu, Mao', 'Ogura, Yui', 'Mizusawa, Kei', 'Minegishi, Yukari', 'Kobayashi, Maki', 'Kajita, Yuuki']
animeStaff	[['Watase, Toshihiro', 'Director, Episode Director, Script, Storyboard, Screenplay'], ['Miura, Saburou', 'Director']]
