animeTitle	Princess Lover!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	100098
animeRank	
animePopularity	923
animeDescription	"Following an automobile accident that claims the life of his parents, Teppei Arima is taken in by his grandfather and introduced to the world of the rich and the elite. Compared to his humble upbringing, Isshin Arima's lavish lifestyle surprises and stuns the young teenager. In return for the gracious hospitality, Teppei is expected to continue the family business by replacing his grandfather as the head of Arima Financial Combine, and to prepare him for these responsibilities, he is enrolled into an esteemed high school. Along with his recently acquired celebrity status and affluence, Teppei is informed of an arranged marriage with the equally prosperous Sylvia van Hossen, thus, beginning the thrilling escapades of his new life!

[Written by MAL Rewrite]"
animeRelated	['Princess Lover! - Pure My Heart', 'Princess Lover! Picture Drama', 'Princess Lover! OVA', 'Princess Lover!: Magical Knight Maria-chan']
animeCharacters	['van Hossen, Sylvia', 'Hazelrink, Charlotte', 'Arima, Teppei', 'Houjouin, Seika', 'Fujikura, Yuu', 'van Hossen, Maria', 'Nezu, Haruhiko', 'Alfred', 'Hossen, Vincent van', 'Josephine']
animeVoices	['Toyoguchi, Megumi', 'Yuzuki, Ryouka', 'Terashima, Takuma', 'Katou, Emiri', 'Matsuoka, Yuki', 'Miyake, Kaya', 'Shiraishi, Minoru', 'Akimoto, Yousuke', 'Koyasu, Takehito', 'Tanaka, Atsuko']
animeStaff	[['Kanazawa, Hiromichi', 'Director'], ['Takahashi, Hideo', 'Sound Director'], ['Kudou, Susumu', 'Episode Director, Storyboard'], ['Suzuki, Shingo', 'Storyboard, Chief Animation Director, Character Design, Animation Director, Key Animation']]
