animeTitle	Kingyo Chuuihou! (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	218
animeRank	
animePopularity	12460
animeDescription	A super-short fast paced theatrical animation about Wapiko and friends. 
animeRelated	['Kingyo Chuuihou!']
animeCharacters	['Wapiko', 'Fujinomiya, Chitose', 'Gyopi', 'Kitada, Shuichi', 'Aoi', 'Furyouushi', 'Sugadaira, Yurika']
animeVoices	[]
animeStaff	[['Satou, Junichi', 'Director'], ['Maruo, Keiko', 'Script'], ['Nishiyama, Shigeru', 'Editing']]
