animeTitle	Yoroshiku Mechadock
animeType	TV
animeNumEpisode	30
releaseDate	1984-09-01 00:00:00
endDate	1985-03-30 00:00:00
animeNumMembers	
animeScore	6.33
animeUsers	298
animeRank	
animePopularity	9732
animeDescription	Mechadock is a powerful race car obtained from a simple economy car, which is able to race on any ground.
animeRelated	['Yoroshiku Mechadoc']
animeCharacters	['Kazami, Jun', 'Kirishima, Kirito', 'Noro, Kiyoshi', 'Nakamura, Ichiro', 'Ono, Reiko', 'Ono, Seisaburou', 'Watanabe, Toshimitsu', 'Tsuyuzaki, Takeshi', 'Tsukinari, Hikoroku', 'Nachi, Wataru']
animeVoices	['Hashimoto, Kouichi', 'Horiuchi, Kenyuu', 'Genda, Tesshou', 'Ishimaru, Hiroya', 'Hidaka, Noriko', 'Katou, Masayuki', 'Ishizuka, Unshou', 'Kobayashi, Katsuhiko', 'Ichiryuusai, Teiyuu', 'Inoue, Kazuhiko']
animeStaff	[['Kojima, Masayuki', 'Episode Director, Storyboard'], ['Sadamitsu, Shinya', 'Episode Director, 2nd Key Animation'], ['Koyama, Takao', 'Script'], ['Terada, Kenji', 'Script, Series Composition']]
