animeTitle	Hokori Inu no Hanashi
animeType	Movie
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.48
animeUsers	185
animeRank	
animePopularity	14006
animeDescription	"Dogs all end up to be a dusty dog. Dogs’ dust consists of
pride of themselves and that of you.
The film is of the memory, love and gratitude of the dusty dog,
and many other dogs, tracing their senses and memories,
dedicating to you who gave love to them. 

(Source: Official Site)"
animeRelated	['The Curlydog Story']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
