animeTitle	Shoujo Shuumatsu Jugyou
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	4165
animeRank	
animePopularity	5396
animeDescription	"Super deformed parody shorts of Shoujo Shuumatsu Ryokou streamed on Kadokawa's official YouTube channel. They follow Chito and Yuuri in a classroom setting exploring what ""school"" might have been for people when civilization was still around."
animeRelated	['Shoujo Shuumatsu Ryokou']
animeCharacters	['Chito', 'Yuuri', 'Nuko', 'Ishii', 'Automaton', 'Kanazawa', 'Sakana', 'Imo']
animeVoices	['Minase, Inori', 'Kubo, Yurika', 'Mitsuishi, Kotono', 'Tezuka, Hiromichi', 'Ogami, Shinnosuke']
animeStaff	[['Ashina, Minoru', 'Episode Director'], ['Tsukumizu', 'Original Creator'], ['Takehara, Minoru', 'Character Design']]
