animeTitle	Semi wa Magic Cube
animeType	TV
animeNumEpisode	26
releaseDate	2018-08-01 00:00:00
endDate	2019-02-07 00:00:00
animeNumMembers	723
animeScore	
animeUsers	
animeRank	13138
animePopularity	12024
animeDescription	"The story tells the tale of Semi, a bright girl who goes in a magical time journey with the genius teacher Wai, in order to prevent the evil X from utilizing the powers of the magic cube for evil. Along the way, Semi and her math school friends run into history and math problems that they must solve with logic and wit.

(Source: hobbykr)
"
animeRelated	['Semi wa Magic Cube 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
