animeTitle	Mahou no Princess Minky Momo
animeType	TV
animeNumEpisode	63
releaseDate	1982-03-18 00:00:00
endDate	1983-05-26 00:00:00
animeNumMembers	
animeScore	6.79
animeUsers	1485
animeRank	
animePopularity	6285
animeDescription	Momo is the princess of Fenarinarsa, a land of dreams that is getting further and further from Earth. She is sent to help the Earth regain faith in its dreams. To assist her are her friends Sindbook, Mocha, and Pipiru and her magic wand that transforms her into an adult. She's ready and willing to help anyone she can in order to make their dream come true, no matter what happens.
animeRelated	['Mahou no Princess Minky Momo: Yume no Naka no Rondo', 'Minky Momo in Yume ni Kakeru Hashi', 'Mahou no Princess Minky Momo: Yume wo Dakishimete', 'Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special']
animeCharacters	['Momo', 'Papa', 'Evil Queen', 'Black Cloud', 'Lapin, Arsène', 'Mama', 'Kajira', 'King of Fenarinarsa', 'Mocha', 'Shindobukku']
animeVoices	['Koyama, Mami', 'Naya, Rokurou', 'Doi, Mika', 'Chiba, Shigeru', 'Masuoka, Hiroshi', 'Kitou, Reiko', 'Tanonaka, Isamu']
animeStaff	[['Yuyama, Kunihiko', 'Director, Episode Director, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Kato, Takao', 'Episode Director, Storyboard'], ['Shudou, Takeshi', 'Script, Creator, Screenplay, Series Composition']]
