animeTitle	Votoms Finder
animeType	OVA
animeNumEpisode	1
releaseDate	2010-12-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1184
animeRank	
animePopularity	8504
animeDescription	Aki Tesno lives in a poor village at the bottom of a valley. One day, a man from an uptown city asks Aki to rescue a kidnapped girl.
animeRelated	['Soukou Kihei Votoms']
animeCharacters	['Tesuno, Aki']
animeVoices	['Ishida, Akira']
animeStaff	[['Shigeta, Atsushi', 'Director, Storyboard, Key Animation, Character Design'], ['Endou, Hirotaka', 'Episode Director'], ['Takahashi, Ryousuke', 'Original Creator'], ['Yatate, Hajime', 'Original Creator']]
