animeTitle	b'Sanjougattai Transformers Go!'
animeType	b'OVA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	210
animeRank	
animePopularity	
animeDescription	"b""Bundled on DVDs with Shogakukan's Terebi-kun (TV-kun) magazine and Kodansha's TV Magazine.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Fuuma, Tobio', b'Tatewaki, Isami']
animeVoices	[b'\nTakagaki, Ayahi\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nSakai, Keishi\n\nKey Animation\n\n', b'\nAkai, Fuminao\n\nArt Director\n\n', b'\nNakatake, Manabu\n\nKey Animation, Animation Director, Character Design\n\n']
