animeTitle	b'Dragon Ball Kai (2014)'
animeType	b'TV'
animeNumEpisode	61
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	83748
animeRank	
animePopularity	
animeDescription	"b""Remastered version of the Majin Buu saga that adheres more to the manga's story."""
animeRelated	[b'Dragon Ball', b'Dragon Ball Z', b'Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', b'Dragon Ball Super']
animeCharacters	[b'Son, Gokuu', b'Vegeta', b'Son, Gohan', b'Trunks', b'Son, Goten', b'Piccolo', b'Freeza', b'Bulma', b'Muten-Roushi', b'Kuririn']
animeVoices	[b'\nNozawa, Masako\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nSatou, Masaharu\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSabat, Christopher\n\nProducer, ADR Director\n\n', b'\nKimura, Kyotaro\n\nProducer\n\n', b'\nBarcellos, Jorge\n\nProducer\n\n', b'\nIeiri, Leo\n\nTheme Song Performance\n\n']
