animeTitle	Yuu☆Yuu☆Hakusho Picture Drama
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	3958
animeRank	
animePopularity	5350
animeDescription	"Because the Demon World Tournament winner has requested it, Yusuke, Kuwabara and Kurama get together in front of an audience for each of them to record a morning and evening greeting.

The problem is how to get Hiei to do the same."
animeRelated	['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou', 'Yuu☆Yuu☆Hakusho: Eizou Hakusho II']
animeCharacters	['Urameshi, Yuusuke', 'Hiei', 'Kurama', 'Kuwabara, Kazuma']
animeVoices	['Sasaki, Nozomu', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Chiba, Shigeru']
animeStaff	[['Togashi, Yoshihiro', 'Original Creator']]
