animeTitle	Stairs: Houkago no Album
animeType	OVA
animeNumEpisode	1
releaseDate	2001-05-21 00:00:00
endDate	
animeNumMembers	1688
animeScore	5.45
animeUsers	575
animeRank	
animePopularity	9876
animeDescription	Makoto has been best friends with the beautiful Une since they were kids. Every school morning, he rides his bike over to her place, picks her up, and takes her to the train station where they catch the train to high school. He`s very much in love with her, but doesn`t do anything until he discovers another guy in his class is about to make a move on her. Is it to late to tell her how he feels? Will fellow female classmate Nonoka confess her love to Makoto?
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
