animeTitle	Youseiki Suikoden
animeType	OVA
animeNumEpisode	1
releaseDate	1993-09-25 00:00:00
endDate	
animeNumMembers	2553
animeScore	5.71
animeUsers	1001
animeRank	9709
animePopularity	8812
animeDescription	In the early 21st century, an earthquake destroyed Tokyo. Japan lost its center of government and industry, and turned into a lawless territory. Looking for his sister, Takateru Suga learns that she was kidnapped by the powerful Koryukai gang. He decides to ally himself with a drag queen, two ex-mercenaries and a nun to destroy the crime organization and save his sister!
animeRelated	[]
animeCharacters	['Hamura, Ryo', 'Mamiya, Miyuki', 'Suga, Takateru', 'Father Owen', 'Agu', 'Oshita, Masaru', 'Amamoto, Kyoichi']
animeVoices	['Yamadera, Kouichi', 'Sasaki, Nozomu', 'Seki, Toshihiko', 'Tanaka, Hideyuki', 'Miyauchi, Kouhei', 'Ogata, Kenichi', 'Tatsuta, Naoki']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Grant, Tiffany', 'Script'], ['Tsuru, Toshiyuki', 'Storyboard, Animation Director, Key Animation, Character Design'], ['Tsurumaki, Kazuya', 'Assistant Animation Director, Key Animation']]
