animeTitle	Pankunchi
animeType	ONA
animeNumEpisode	10
releaseDate	2007-01-01 00:00:00
endDate	
animeNumMembers	335
animeScore	
animeUsers	
animeRank	12701
animePopularity	14135
animeDescription	"Pankun is a baby panda who was abandoned in a forest where pandas live. His favorite possession is an old mitten that was in the box with him when he was abandoned. Pankun loves bread, and his tummy rumbles whenever he sees the two pieces of bread, Shokupan and Koppepan.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Koppepan', 'Shokupan', 'Pankun']
animeVoices	[]
animeStaff	[]
