animeTitle	Durarara!!x2 Ten
animeType	TV
animeNumEpisode	12
releaseDate	2015-07-04 00:00:00
endDate	2015-09-26 00:00:00
animeNumMembers	347554
animeScore	7.99
animeUsers	176384
animeRank	570
animePopularity	485
animeDescription	"In Ikebukuro, the lives of its citizens continue intertwining with each other as if their fates are predestined. Mikado Ryuugamine is now one step closer to his goal of living an exciting life, and in turn, delves deeper into the darker side of Ikebukuro. After gaining absolute control over a former rival, he uses his newfound power as he pleases, purging the Dollars from the inside to mold it into the ideal organization. This proves to be as challenging as it sounds as Mikado must now deal with unwanted outside interference, most notably a re-emerging and dearly missed friend. Meanwhile, Izaya Orihara still has some schemes up his sleeve, although a rival information exchange center has proven to be quite the hindrance, lurking within everyone’s favorite downtown district. Undoubtedly, sooner or later, chaos will strike again.

[Written by MAL Rewrite]"
animeRelated	['Durarara!!', 'Durarara!!x2 Shou', 'Durarara!!x2 Ketsu', 'Durarara!!x2 Ten: Onoroke Chakapoko']
animeCharacters	['Orihara, Izaya', 'Heiwajima, Shizuo', 'Sturluson, Celty', 'Kishitani, Shinra', 'Ryuugamine, Mikado', 'Sonohara, Anri', 'Kida, Masaomi', 'Brezhnev, Semyon', 'Kadota, Kyouhei', 'Karisawa, Erika']
animeVoices	['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Miyano, Mamoru', 'Kuroda, Takaya', 'Nakamura, Yuuichi', 'Takagaki, Ayahi']
animeStaff	[['Oomori, Takahiro', 'Director, Sound Director'], ['Kouno, Ayako', 'Episode Director'], ['Kondou, Natsuko', 'Episode Director, Animation Director'], ['Takagi, Noboru', 'Script, Series Composition']]
