animeTitle	Kazemakase Tsukikage Ran
animeType	TV
animeNumEpisode	13
releaseDate	2000-01-26 00:00:00
endDate	2000-04-19 00:00:00
animeNumMembers	
animeScore	7.12
animeUsers	4624
animeRank	
animePopularity	4586
animeDescription	In the Edo or Tokugawa period (1600–1868), Ran, a female wandering samurai whose skill with the katana is only matched by her taste for sake (rice wine), is joined by a chinese martial artist who calls herself Lady Meow of the Iron Cat Fist. Tsukikage Ran has individual episodes that are just short stories of their adventures.
animeRelated	['Kazemakase Tsukikage Ran']
animeCharacters	['Tsukikage, Ran', 'Myao', 'Denkichi', 'Kidoya Ramen Owner', 'Gin', 'Rokkan', 'Isuke', 'Ean', 'Mei', 'Okuma, Daigoro ']
animeVoices	['Yasuhara, Reiko', 'Okamura, Akemi', 'Nazuka, Kaori', 'Nakao, Azusa', 'Takamori, Nao']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Daichi, Akitarou', 'Director, Script, Storyboard, Original Creator'], ['Tanaka, Kazuya', 'Sound Director'], ['Tamano, Harumi', 'Episode Director, Storyboard']]
