animeTitle	Ginga Reppuu Baxingar
animeType	TV
animeNumEpisode	39
releaseDate	1982-07-06 00:00:00
endDate	1983-03-29 00:00:00
animeNumMembers	
animeScore	6.29
animeUsers	149
animeRank	
animePopularity	11147
animeDescription	"600 years after Ginga Senpuu Braiger, Jupiter has been destroyed, and many planets have come from it, bringing about more colonization. To combat the increasing lawless activity, Don Diego Condor gathers Billy the Shot, Samanosuke Dodi, Layla Minesato, and Shuteken Radcliffe, a.k.a. J9-II. They pilot Cosmo Bikes, which combine into the robot Baxingar. 

(Source: ANN) "
animeRelated	['Ginga Senpuu Braiger', 'Ginga Shippuu Sasuraiger']
animeCharacters	['Kondou, Diego', 'Doudi, Samanosuke', 'Mineri, Layla', 'Radcliffe, Stecken', 'Mahoroba, Shirou', 'Lee, Fang-Fang', 'Lee, Jacky', 'Johnny, Jean-Jacques']
animeVoices	['Tokumaru, Kan', 'Mori, Katsuji', 'Ichiryuusai, Harumi', 'Sogabe, Kazuyuki', 'Shiozawa, Kaneto', 'Amemiya, Kazumi', 'Tonguu, Kyouko', 'Yanami, Jouji']
animeStaff	[['Nitta, Yoshikata', 'Director'], ['Matsuura, Johei', 'Episode Director'], ['Yamagata, Yukio', 'Theme Song Performance'], ['Komatsubara, Kazuo', 'Character Design']]
