animeTitle	Mina no Egao
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17128
animeDescription	"In a village in Asia, there is a family with five children. Mina and her husband, Jai who never learnt to read and write, work in the field.
One day, Jai suddenly falls ill from stomach cramps. Mina urgently looks for medicine, but she can't find the right container among so many different kinds. Mina decides to go to the clinic in town with the empty bottle.
When she reaches the clinic, the doctor is surprised by the bottle she has brought. The bottle is not for medicine, but for pesticide! When she returns home Mina tells Jai what happened in town. And she tells him frankly that she wants to attend literacy class.
The story tells you what problems illiterates in Asia and the Pacific are facing and shows the importance of literacy.

(Source: ACCU)"
animeRelated	['Mina no Mura to Kawa']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
