animeTitle	Riyuu
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16981
animeDescription	"Music video directed by Kato Ryu for the song Riyuu by Noriyuki Makihara that was included on his forty-seventh single ""Believer"". The short version of the music video was uploaded to Makihara's official YouTube channel on August 9, 2016. Later in the month, the full version was released on GYAO! for a limited time. It was also included on DVD with a limited edition release of his twenty-first album, also titled ""Believer""."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
