animeTitle	Sex Pistols
animeType	OVA
animeNumEpisode	2
releaseDate	2010-03-26 00:00:00
endDate	2011-04-27 00:00:00
animeNumMembers	27762
animeScore	6.59
animeUsers	14699
animeRank	
animePopularity	3423
animeDescription	"An average boy named Norio is suddenly getting a lot of unwanted romantic attention. A fall down the stairs into the arms of a handsome stranger sets off the beginnings of an explanation, and it is one Norio never could have possibly imagined. Soon a whole new world opens up for Norio revealing a secret society of special people evolved from animals other than monkeys. Norio turns out to be a particularly rare breed and his DNA is in high demand. Now that he's suddenly the prey, it'll take much effort to survive in this modern jungle. 

This story revolves around a high school boy who discovers that he is part of a select group of humans who did not evolve from monkeys, but various animals such as leopards and black bears. 

(Source: ANN) "
animeRelated	['Sex Pistols']
animeCharacters	['Madarame, Yonekuni', 'Tsuburaya, Norio', 'Fujiwara, Shiro', 'Madarame, Kunimasa', 'Kumakashi, Teruhiko', 'McBear, Joshua', 'Madarame, Makio', 'Aogiri, Oshou']
animeVoices	['Sugita, Tomokazu', 'Shimono, Hiro', 'Hatano, Wataru', 'Kawahara, Yoshihisa', 'Domon, Jin', 'Narita, Ken', 'Ohara, Sayaka', 'Nojima, Hirofumi']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Kotobuki, Tarako', 'Original Creator'], ['Hayashi, Kanako', 'Color Design']]
