animeTitle	Green Green OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2002-12-20 00:00:00
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	15536
animeRank	
animePopularity	3512
animeDescription	"Hanaoka high school is an all girls' school, and the girls were pretty excited when they heard that boys were admitted into their high school. Smart and elegant boys, that's in their fantasy. However, in reality, the boys who were actually admitted are from the countryside and not smart at all, leave alone being elegant. And in fact, two of them are dirty perverts...
"
animeRelated	['Green Green']
animeCharacters	['Chitose, Midori', 'Takasaki, Yusuke', 'Ijuuin, Tadatomo', 'Tenjin, Taizo', 'Kutsuki, Wakaba', 'Ichiban-Boshi, Hikaru', 'Minami, Sanae', 'Dokugasu, Wayasu', 'Morimura, Reika', 'Iino, Chigusa']
animeVoices	['Nakayama, Sara', 'Kisaichi, Atsushi', 'Tanaka, Kazunari', 'Hamada, Kenji', 'Mannaka, Yukiko', 'Domon, Jin', 'Sugimoto, Saori', 'Ueda, Kana', 'Suzuki, Mariko']
animeStaff	[['Mutou, Yuuji', 'Director'], ['milktub', 'Theme Song Composition'], ['Mitsumune, Shinkichi', 'Music']]
