animeTitle	With You: Mitsumeteitai
animeType	OVA
animeNumEpisode	2
releaseDate	2000-12-25 00:00:00
endDate	2001-05-25 00:00:00
animeNumMembers	
animeScore	5.38
animeUsers	334
animeRank	
animePopularity	10790
animeDescription	"Based on a H-game with the same title released by Cocktail Soft in 1998, With You: Mitsumeteitai focuses on love triangle between the main characters who were childhood friends. They were separated because one of them had to move to Myanmar (an Asian country formerly known as Burma). After six years, they are re-united again and the story begins...

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Naruse, Manami', 'Saeko, Tanaka', 'Hikawa, Naori', 'Cyamna Fon', 'Itou, Noemi', 'Takuya, Shibasaki', 'Masashi, Hashimoto', 'Shigaraki, Miako']
animeVoices	['Oikawa, Hitomi', 'Aoyama, Touko', 'Narahashi, Miki', 'Nagasaki, Minami', 'Fujisaki, Kaori', 'Tobita, Nobuo', 'Kouzuki, Miwa']
animeStaff	[['Kageyama, Shigenori', 'Director, Storyboard'], ['Honda, Yasunori', 'Sound Director'], ['Tokiwa, Shouji', 'Art Director']]
