animeTitle	Wakusei Robo Danguard Ace
animeType	TV
animeNumEpisode	56
releaseDate	1977-03-06 00:00:00
endDate	1978-03-26 00:00:00
animeNumMembers	
animeScore	6.2
animeUsers	277
animeRank	
animePopularity	10304
animeDescription	"In order to explore the newly discovered planet, Promethe, there are many projects are running all over the world.

Here in Japan, under the direction of Dr. Oedo, ""Space Carrier Jasdum"" and ""Planet Robot Dangard A"" are being built. Ichimonji Takuma is a candidate for the pilot of Dangard A. His father, Ichimonji Dantetsu, was a famous space pilot.

However, Dantetsu went missing after a mysterious accident, and the people blamed him for the accident. In order to clear his name, Takuma is trying to become a space pilot and succeed in the project. Will Takuma become the pilot?"
animeRelated	['Wakusei Robo Dangard Ace', 'Wakusei Robo Danguard Ace: Uchuu Daikaisen', 'Wakusei Robo Danguard Ace tai Konchuu Robot Gundan', 'Toei Robot Girls']
animeCharacters	['Ichimonji, Takuma', 'Lisa', 'Dan, Captain', 'Hechi', 'Harken, Tony', 'Oboshi, Hideto', 'Emperor Doppler', 'Dr. Oedo', 'Arai, Banta', 'Arai, Miyoko']
animeVoices	['Kamiya, Akira', 'Yoshida, Rihoko', 'Shibata, Hidekatsu', 'Yanami, Jouji', 'Yamada, Keaton', 'Furukawa, Toshio', 'Ginga, Banjou', 'Tomita, Kousei', 'Ootake, Hiroshi', 'Kikuchi, Hiroko']
animeStaff	[['Sasaki, Isao', 'Theme Song Performance'], ['Matsumoto, Leiji', 'Creator'], ['Kanada, Yoshinori', 'Key Animation'], ['Kikuchi, Shunsuke', 'Music']]
