animeTitle	Gakuen Babysitters
animeType	TV
animeNumEpisode	12
releaseDate	2018-01-07 00:00:00
endDate	2018-03-25 00:00:00
animeNumMembers	
animeScore	7.89
animeUsers	118737
animeRank	
animePopularity	735
animeDescription	"After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain a friendly and kindhearted demeanor, Kotarou is a reserved toddler still too young to understand the reality of the situation. At their parents' funeral, they are approached by Youko Morinomiya, the stern chairman of an elite academy, who decides to take them under her care.

However, there is one condition Ryuuichi must fulfill in exchange for a roof over their heads and enrolment in the school—he must become the school's babysitter. In an effort to support the female teachers at the academy, a babysitter's club was established to look after their infant children; unfortunately, the club is severely short-staffed, so now not only is Ryuuichi responsible for his little brother, but also a handful of toddlers who possess dynamic personalities.

[Written by MAL Rewrite]"
animeRelated	['Gakuen Babysitters', 'Gakuen Babysitters Special']
animeCharacters	['Kashima, Kotarou', 'Kamitani, Hayato', 'Kashima, Ryuuichi', 'Kamitani, Taka', 'Mamizuka, Kazuma', 'Usaida, Yoshihito', 'Saikawa, Keigo', 'Nezu, Chuukichi', 'Kumazuka, Kirin', 'Inomata, Maria']
animeVoices	['Furuki, Nozomi', 'Umehara, Yuuichirou', 'Nishiyama, Koutarou', 'Sanpei, Yuuko', 'Tanezaki, Atsumi', 'Maeno, Tomoaki', 'Ono, Daisuke', 'Ota, Motohiro', 'Kohara, Konomi', 'Akesaka, Satomi']
animeStaff	[['Motoyama, Satoshi', 'Sound Director'], ['Kakihara, Yuuko', 'Script, Series Composition'], ['Ono, Daisuke', 'Theme Song Performance'], ['Umehara, Yuuichirou', 'Theme Song Performance']]
