animeTitle	Iruka to Shounen
animeType	TV
animeNumEpisode	13
releaseDate	1975-07-30 00:00:00
endDate	1975-08-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14390
animeDescription	"The series presents the adventures of Zoum, a white dolphin and his friends, two children who live with their sailor uncle. The cast includes several animals including a mynah bird (who understands the dolphin language in addition to the language of the other animals and the humans on the island and acts as a translator), a koala, and a sloth.

During their adventures, Zoum meets a beautiful female dolphin, called Za-za-zoom in the English version, with whom he has a baby.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
