animeTitle	b'B.B. Fish'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.6
animeUsers	903
animeRank	
animePopularity	
animeDescription	b'At the time of the ceremony of entry to the college, a young boy named Ushino Hayama finds Sara a girl whom he met ten years ago. From this day, a change has taken place in him, and notices that can now control some water. After having succeeded the swimming championships, he discovers deep sea diving.\n\n(Source: ANN)'
animeRelated	[b'B.B. Fish']
animeCharacters	[b'Kannazuki, Sara', b'Hayama, Ushio', b'Kannazuki, Tatsuya', b'Made', b'Muraoka', b'Kumagai, Gen', b'Ayuuru']
animeVoices	[b'\nShinohara, Emi\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nChafurin\nJapanese\n', b'\nAmano, Yuri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshikawa, Mitsuhisa\n\nProducer\n\n', b'\nHamatsu, Mamoru\n\nDirector, Script\n\n', b'\nChiba, Kouichi\n\nSound Director\n\n', b'\nTakeda, Yuusuke\n\nArt Director\n\n']
