animeTitle	Hyouga Senshi Gaislugger
animeType	TV
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12544
animeDescription	"A cyborg warrior from an ancient Antarctic kingdom awakes 30000 years later from an accidental hibernation to find the Earth changed and an old alien enemy on the verge of invasion. It's up to Guyslugger to use his ancient technology to defeat the aliens. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Dr. Shiki', 'Reiko', 'Mari', 'Taro', 'Ken', 'Kaya']
animeVoices	['Iizuka, Shouzou', 'Yoshida, Rihoko', 'Komiya, Kazue', 'Yamamoto, Keiko', 'Furuya, Toru', 'Kamiya, Akira']
animeStaff	[['Ishiguro, Noboru', 'Director'], ['Fujikawa, Keisuke', 'Script, Screenplay'], ['Mizuki, Ichirou', 'Theme Song Performance'], ['Horie, Mitsuko', 'Theme Song Performance']]
