animeTitle	Natsufuku no Shoujo-tachi
animeType	Special
animeNumEpisode	1
releaseDate	1988-08-07 00:00:00
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	232
animeRank	
animePopularity	11391
animeDescription	"In 1945, the second and third-year students of a Hiroshima girls' school are taken away to work in war factories. The remaining 220 girls of the first year try to make the best of their new-found status as the only teenagers in an almost deserted town, even amid the deprivations of wartime. On the 7th of August, an American bomber changes their lives forever. Broadcast on the 43rd anniversary of Hiroshima in memory of ""the girls who lost their lives to the atom bomb.""

(Source: Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
