animeTitle	b'Robby to Kerobby'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A story of the adventures of Robby and Kerobby along with their other friends.'
animeRelated	[]
animeCharacters	[b'Kerobby', b'Robby', b'Athena']
animeVoices	[b'\nTsuji, Nozomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKou, Yuu\n\nDirector\n\n', b'\nOgura, Hirofumi\n\nEpisode Director, Storyboard\n\n', b'\nOzeki, Masayuki\n\nEpisode Director\n\n', b'\nOoseki, Masayuki\n\nEpisode Director\n\n']
