animeTitle	Houkago no Tinker Bell
animeType	OVA
animeNumEpisode	1
releaseDate	1992-07-22 00:00:00
endDate	
animeNumMembers	
animeScore	5.59
animeUsers	214
animeRank	
animePopularity	11943
animeDescription	"Based on a story from the After School Series line of light novels.

Kenichi Akizuki and Misako Watanabe work together to solve the mysterious disappearance of their classmate Ryouko Miyazaki.  The only clue left by the kidnapper is signed Koushin Okazaki, her late classmate who'd committed suicide to preserve his youth and become like Peter Pan."
animeRelated	[]
animeCharacters	['Watanabe, Misako', 'Akizuki, Kenichi', 'Okazaki, Koushin', 'Anamizu-senpai', 'Tano, Keiko', 'Edogawa, Junji', 'Yukino, Hiro', 'Sasamoto, Kazuhiro', 'Miyazaki, Ryoko']
animeVoices	['Mizutani, Yuuko', 'Tobita, Nobuo', 'Fujiwara, Keiji', 'Ono, Kenichi', 'Hiramatsu, Akiko', 'Matsumoto, Yasunori', 'Kikuchi, Masami', 'Iwanaga, Tetsuya', 'Kawamura, Maria']
animeStaff	[['Tanaka, Hideyuki', 'Sound Director'], ['Ishizaki, Susumu', 'Episode Director'], ['Shiramine, Mitsuko', 'Theme Song Lyrics'], ['Kaneko, Hitoshi', 'Director of Photography']]
