animeTitle	b'Magatsu Wahrheit: Zuerst'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	8972
animeRank	
animePopularity	
animeDescription	"b'In the technologically and magically advanced Wahrheit Empire, rumors of a returning catastrophe known only as the ""light"" causes a disturbance amongst the people. Meanwhile, in the capital of the Empire, transporter Innumael Grauer prepares his daily deliveries, struggling to make ends meet for himself and his sister. Leocadio W\xc3\xb6hler, a newly recruited soldier, assists Innumael whilst commuting to work\xe2\x80\x94unknowingly loading a mysterious package containing contraband artillery belonging to a criminal organization.\n\nInnumael is accused of smuggling the package, facing possible execution due to the Empire\'s strict oversight of weapons in response to the rising disorder. However, unbeknownst to him, the very syndicate that placed him in this unfortunate predicament may save him from this fate, at least temporarily. Elsewhere, Leocadio is assigned his first mission\xe2\x80\x94to apprehend the criminal group known as ""Headkeeper,"" suspected of transporting illegal weaponry.\n\nMagatsu Wahrheit: Zuerst follows these two young men on a journey encompassing the Wahrheit Empire, triggering a chain of events that will not only change their lives but also alter the course of the Empire as they know it.\n\n[Written by MAL Rewrite]'"
animeRelated	[]
animeCharacters	[b'Grauer, Innumael', b'W\xc3\xb6hler, Leocadio', b'Helman', b'Elfriede', b'Gutheil, Schaake', b'Claus', b'Irma', b'Wisdom, Conrad', b'Jade', b'Dr. Radboud']
animeVoices	[b'\nAbe, Atsushi\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nFujii, Yukiyo\nJapanese\n', b'\nHanamori, Yumiri\nJapanese\n', b'\nSuzuki, Ryouta\nJapanese\n', b'\nNaganawa, Maria\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nShiraishi, Minoru\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoda, Naoto\n\nDirector, Script, Series Composition\n\n', b'\nCai, Xinya\n\nEpisode Director, Storyboard\n\n', b'\nOno, Ryuuta\n\nEpisode Director, Storyboard, Assistant Director\n\n', b'\nMomose, Yuuichirou\n\nScript\n\n']
