animeTitle	Shirayuki Hime no Densetsu
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.64
animeUsers	1171
animeRank	
animePopularity	8410
animeDescription	Snow White was a very happy princess, until the day her stepmother, the Queen Christelle, finally reveals her personality and wants to kill the girl. Snow White flees from the castle and got lost in the woods, where she meets seven dwarfs.
animeRelated	[]
animeCharacters	['Snow White', 'Boss', 'Jolly', 'Prince Richard', 'Crystal', 'Jack', 'Flora']
animeVoices	['Amano, Yuri', 'Naka, Hiroshi', 'Iwanaga, Tetsuya', 'Koyasu, Takehito', 'Yokoo, Mari', 'Yamaguchi, Kappei', 'Ootani, Ikue']
animeStaff	[['Okajima, Kunitoshi', 'Director, Episode Director, Storyboard'], ['Asada, Yuuji', 'Episode Director'], ['Inoue, Osamu', 'Episode Director'], ['Sakurai, Masaaki', 'Script']]
