animeTitle	To Heart 2 AD Plus
animeType	OVA
animeNumEpisode	2
releaseDate	2009-04-24 00:00:00
endDate	2009-10-07 00:00:00
animeNumMembers	
animeScore	6.74
animeUsers	1826
animeRank	
animePopularity	6866
animeDescription	"Volume 1
Silfa the robot maid is currently working at Takaaki's house. However, she seems to have a little trouble with her duties as part of it involves going out in public to buy groceries, and she's a bit ""shy"" in a sense. But when it comes to Haruka Yuzuhara's special curry, she'll do what she has to in order to make this special dish for Takaaki. And that includes some competition from Milfa (Harumi).

Volume 2
Involves summer, swimsuits and photography.

(Source: AniDB)"
animeRelated	['To Heart 2: Another Days', 'To Heart 2 AD', 'To Heart 2 Adnext']
animeCharacters	['HMX-17c Silfa', 'Asagiri, Maako', 'Kouno, Takaaki', 'Sasamori, Karin', 'Kousaka, Tamaki', 'Kusugawa, Sasara', 'Misora, Lucy Maria', 'Yuzuhara, Konomi', 'Komaki, Manaka', 'Tonami, Yuma']
animeVoices	['Sakurai, Harumi', 'Kogure, Ema', 'Fukuyama, Jun', 'Nakajima, Saki', 'Itou, Shizuka', 'Ono, Ryouko', 'Natsuki, Rio', 'Hase, Yurina', 'Rikimaru, Noriko', 'Nabatame, Hitomi']
animeStaff	[['Hamano, Takatoshi', 'Sound Director'], ['Aquaplus', 'Original Creator'], ['Mitsumi, Misato', 'Original Character Design'], ['Shimokawa, Naoya', 'Planning']]
