animeTitle	One Piece: Adventure of Nebulandia
animeType	Special
animeNumEpisode	1
releaseDate	2015-12-19 00:00:00
endDate	
animeNumMembers	30353
animeScore	7.28
animeUsers	15967
animeRank	2506
animePopularity	3283
animeDescription	This special will have the Straw Hats fight Foxy again in the New World on Nebulandia, an island that nullifies Devil Fruit powers.
animeRelated	['One Piece']
animeCharacters	['Monkey D., Luffy', 'Roronoa, Zoro', 'Sanji', 'Nico, Robin', 'Tony Tony, Chopper', 'Usopp', 'Nami', 'Brook', 'Franky', 'Foxy']
animeVoices	['Tanaka, Mayumi', 'Nakai, Kazuya', 'Hirata, Hiroaki', 'Yamaguchi, Yuriko', 'Ootani, Ikue', 'Yamaguchi, Kappei', 'Okamura, Akemi', 'Cho', 'Yao, Kazuki', 'Shimada, Bin']
animeStaff	[['Uda, Kounosuke', 'Director'], ['Tomioka, Atsuhiro', 'Script'], ['Koga, Gou', 'Storyboard'], ['Tokoro, Katsumi', 'Storyboard']]
