animeTitle	Puso Ni Comi: Okawari
animeType	ONA
animeNumEpisode	26
releaseDate	2020-04-07 00:00:00
endDate	2020-09-29 00:00:00
animeNumMembers	710
animeScore	6.5
animeUsers	127
animeRank	6148
animePopularity	12043
animeDescription	A second season of Puso Ni Comi, once again following the in-game avatars of the cast.
animeRelated	['Phantasy Star Online 2: Puso Ni Comi', 'Puso Ni Comi', 'Phantasy Star Online 2: Episode Oracle']
animeCharacters	['Tetra', 'Mitarashi']
animeVoices	[]
animeStaff	[]
