animeTitle	Kurokan
animeType	ONA
animeNumEpisode	33
releaseDate	2013-01-01 00:00:00
endDate	2014-01-01 00:00:00
animeNumMembers	395
animeScore	
animeUsers	
animeRank	16953
animePopularity	13611
animeDescription	"To Kirino High, the goal of getting into Koshien Stadium becomes important because the 100th anniversary is around the corner. However, Kurokan's unique way of training has upset the Kirino High Baseball Team Support Association and Alumni Club. Morioka, on the other hand, is a preferrable coach beacuse of his solid style. At the same time, Kurokan's decision on player positions has caused confusions to the team.

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
