animeTitle	Puzzle & Dragons Cross
animeType	TV
animeNumEpisode	89
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	1092
animeRank	
animePopularity	5886
animeDescription	"Dorogoza Island is rich in ""Drop Energy"" that players can use on friendly monsters. Once strong enough, they can face enemies in puzzle wars. Winners reap rewards, but what happens to the losers? Only the brave can take on these monstrous challenges!

(Source: FUNimation)"
animeRelated	['40 Shuunen Da yo!! CoroCoro All-Star Shougakkou', 'Puzzle & Dragon']
animeCharacters	['Lance', 'Sonia', 'Ace', 'Tamazou', 'Devi', 'Garnet', 'Donny', 'Klein', 'Myr', 'Kroell']
animeVoices	['Kakihara, Tetsuya', 'Amamiya, Sora', 'Yoshinaga, Takuto', 'Kaneda, Tomoko', 'Sakamoto, Chika', 'Yamashita, Nanami', 'Sakaguchi, Daisuke', 'Kondou, Takayuki', 'Hayami, Saori', 'Suzuki, Tatsuhisa']
animeStaff	[['Kamegaki, Hajime', 'Director'], ['Urakami, Keiko', 'Sound Director'], ['Shimada, Souichi', 'Episode Director, Storyboard'], ['Inokawa, Shintarou', 'Episode Director, Key Animation']]
