animeTitle	b'Hataraku Saibou: Kaze Shoukougun'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	23744
animeRank	
animePopularity	
animeDescription	b'A mysterious cell wearing a stylish hat appears before the regular cells, who are bored with just the same (cell division) work over and over again, every day. This mysterious cell lures the regular cells into a mischievous scheme against White Blood Cell and Killer T Cell. The regular cells enjoy working out their everyday, pent-up frustration. But, just who exactly is this cell wearing a stylish hat?\n\n(Source: ANN)'
animeRelated	[b'Hataraku Saibou (TV)']
animeCharacters	[b'Hakkekkyuu U-1146', b'Sekkekkyuu AE3803', b'Kesshouban', b'Macrophage', b'Killer T Saibou', b'Hakkekkyuu 4989', b'Ippan Saibou', b'Hakkekkyuu 2626', b'Hakkekkyuu 2048']
animeVoices	[b'\nMaeno, Tomoaki\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nNaganawa, Maria\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nKobayashi, Yuusuke\nJapanese\n', b'\nYanagita, Junichi\nJapanese\n', b'\nSatou, Kensuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShimizu, Akane\n\nOriginal Creator\n\n']
