animeTitle	Neko Neko Nihonshi 4th Season
animeType	TV
animeNumEpisode	32
releaseDate	2019-04-03 00:00:00
endDate	2020-02-26 00:00:00
animeNumMembers	284
animeScore	
animeUsers	
animeRank	12327
animePopularity	14826
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Neko Neko Nihonshi', 'Neko Neko Nihonshi 3rd Season', 'Neko Neko Nihonshi Movie: Ryouma no Hachamecha Time Travel ze yo!', 'Neko Neko Nihonshi 5th Season']
animeCharacters	['Sakamoto, Ryouma', 'Ishikawa, Goemon', 'Reciter', 'Egawa, Hidetatsu Tarouzaemon']
animeVoices	['Kobayashi, Yuu']
animeStaff	[['Kawamura, Tomohiro', 'Director'], ['Hirabayashi, Sawako', 'Screenplay'], ['Sonishi, Kenji', 'Original Creator'], ['Shimizu, Tadashi', 'Series Composition']]
