animeTitle	Shijou Saikyou no Deshi Kenichi OVA
animeType	OVA
animeNumEpisode	11
releaseDate	2012-03-14 00:00:00
endDate	2014-05-16 00:00:00
animeNumMembers	
animeScore	7.91
animeUsers	24572
animeRank	
animePopularity	2478
animeDescription	OVAs of History's Strongest Disciple Kenichi bundled with volumes 46, 47, 49, 53, 54, 55, & 56 of the manga.
animeRelated	['Shijou Saikyou no Deshi Kenichi', 'Shijou Saikyou no Deshi Kenichi Specials']
animeCharacters	['Shirahama, Kenichi', 'Fuurinji, Miu', 'Hopachai, Apachai', 'Kousaka, Shigure', 'Koetsuji, Akisame', 'Niijima, Haruo', 'Tanimoto, Natsu', 'Sakaki, Shio', 'Kugenin, Hibiki', 'Nanjou, Kisara']
animeVoices	['Seki, Tomokazu', 'Kugimiya, Rie', 'Ishimaru, Hiroya', 'Noto, Mamiko', 'Kosugi, Juurouta', 'Yamazaki, Takumi', 'Horikawa, Ryo', 'Ishizuka, Unshou', 'Madono, Mitsuaki', 'Takayama, Minami']
animeStaff	[['Suzuki, Takeyuki', 'Producer'], ['Ishiodori, Hiroshi', 'Director, Storyboard'], ['Tanaka, Akiyoshi', 'Sound Director'], ['Seki, Tomokazu', 'Theme Song Performance']]
