animeTitle	Superflat Monogram
animeType	Special
animeNumEpisode	1
releaseDate	2003-01-01 00:00:00
endDate	
animeNumMembers	7346
animeScore	6.48
animeUsers	4077
animeRank	6254
animePopularity	6010
animeDescription	Murakami made this movie in cooperation with Louis Vuitton, the handbag producer. It is more a commercial for Louis Vuitton than it is an anime movie, however the animation is quite special. 
animeRelated	['Superflat First Love']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
