animeTitle	Gakuen Saimin Reido
animeType	OVA
animeNumEpisode	3
releaseDate	2010-04-16 00:00:00
endDate	2012-09-21 00:00:00
animeNumMembers	10636
animeScore	6.66
animeUsers	4015
animeRank	
animePopularity	5178
animeDescription	"Futoshi is fat, smelly, and ugly, so he is teased and bullied by other students. But one day, he receives a parcel from his father who is an inventor. He opens it and finds a cell phone. According to his letter, he can hypnotize anyone using the cell phone. He is doubtful at first, but he visits a woman, Sayuri, who lives next door and tries it.... Yes, it works perfectly. He now plans to take revenge on the students who tease and bully him....

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Sakurazawa, Yuna', 'Miyoshi, Kaoruko', 'Riyuukuushi, Himeno', 'Satou, Futoshi', 'Mizuki, Nagisa', 'Serizono, Sayuri', 'Aihara, Akira']
animeVoices	['Honma, Yukari', 'Yoneshima, Nozomi']
animeStaff	[['Kimura, Takeshi', 'Director, Episode Director, Storyboard, Animation Director, Character Design'], ['Silkys', 'Original Creator']]
