animeTitle	b'Yubisaki kara Honki no Netsujou: Osananajimi wa Shouboushi'
animeType	b'TV'
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	8729
animeRank	
animePopularity	
animeDescription	"b""Ryou Fujihashi wakes up to her apartment burning. Trapped within a deadly blaze with no means of escape, Ryou frantically makes as much noise as possible to alert her neighbors. Fortunately, someone has called the fire department, and they are speedily able to rescue her.\n\nIn a strange twist of fate, one of the firefighters turns out to be her childhood friend, Souma Mizuno. Although she was once interested in him, her crush was short-lived due to Souma's infamous womanizing ways. But with Ryou left homeless and all her possessions lost, Souma opens his home to her. Moving in with her childhood friend means Ryou has to build boundaries\xe2\x80\x94physical ones\xe2\x80\x94because to cross them means to jump straight into Souma's lustful arms. But due to his persistent interest in her, Ryou realizes he might just reignite the burning flames of passion between them.\n\nGetting close with Souma, however, means constant interaction with the rest of the sexy, muscular fire department\xe2\x80\x94and although Souma's heart is set on Ryou, can she stop hers from wandering?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Yubisaki kara Honki no Netsujou: Charao Shouboushi wa Massugu na Me de Watashi wo Daita', b'Yubisaki kara Honki no Netsujou 2: Koibito wa Shouboushi']
animeCharacters	[b'Mizuno, Souma', b'Fujihashi, Ryou', b'Izumi, Yuuki', b'Watanabe, Midori', b'Shinoda, Ayako', b'Sasahara, Megumi', b'Hase, Jun']
animeVoices	[b'\nItou, Kento\nJapanese\n', b'\nTakamori, Natsumi\nJapanese\n', b'\nIi, Kinniku\nJapanese\n', b'\nHonda, Mariko\nJapanese\n', b'\nIzawa, Shiori\nJapanese\n', b'\nHarashima, Akari\nJapanese\n', b'\nKomada, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatase, Toshihiro\n\nDirector\n\n', b'\nEnomoto, Takahiro\n\nSound Director\n\n', b'\nIshigura, Rei\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nShinkai, Kouki\n\nEditing\n\n']
