animeTitle	Keroro Gunsou Movie 1
animeType	Movie
animeNumEpisode	1
releaseDate	2006-03-11 00:00:00
endDate	
animeNumMembers	5929
animeScore	7.26
animeUsers	3068
animeRank	2610
animePopularity	6527
animeDescription	"Sergeant Keroro and his four subordinates came from the planet Keron to the Earth to conquer. However, without notice, they began to enjoy the life on the Earth. Keroro was supposed to stay with Hitana to get the chance to conquer the Earth, but he became friend with Hinata's son, Fuyuki.

Today, as usual, Keroro goes to buy his favorite Gundam plastic model with Fuyuki. On their way home, they find a small shrine, and enter. There, they find a vase, and happens to break it. Since the next day, strange things happen all over the town and people are in panic. Inside the vase, Kiruru, Keron's ancient ultimate weapon was sealed. At the moment, Mirara who holds the secret of the Kiruru appears and informs them of the only method to save the Earth. However...

(Source: AnimeNfo)"
animeRelated	['Keroro Gunsou']
animeCharacters	['Keroro', 'Giroro', 'Kururu', 'Tamama', 'Dororo', 'Hinata, Natsumi', 'Hinata, Fuyuki', 'Azumaya, Koyuki', 'Mois, Angol', 'Saburo, Mutsumi']
animeVoices	['Watanabe, Kumiko', 'Kozakura, Etsuko', 'Kusao, Takeshi', 'Saitou, Chiwa', 'Kawakami, Tomoko', 'Hirohashi, Ryou', 'Noto, Mamiko', 'Ishida, Akira']
animeStaff	[['Yamamoto, Yuusuke', 'Producer'], ['Satou, Junichi', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Kondou, Nobuhiro', 'Storyboard']]
