animeTitle	Toki wo Kakeru Shoujo
animeType	Movie
animeNumEpisode	1
releaseDate	2006-07-15 00:00:00
endDate	
animeNumMembers	687257
animeScore	8.15
animeUsers	400361
animeRank	362
animePopularity	195
animeDescription	"Makoto Konno is in her last year of high school, but is having a hard time deciding what to do with her future. In between enduring the pressure of her teachers and killing time with her best friends, Makoto's life suddenly changes when she accidentally discovers that she is capable of literally leaping through time.

Toki wo Kakeru Shoujo follows Makoto as she plays around with her newfound power. However, she soon learns the hard way that every choice has a consequence, and time is a lot more complicated than it may seem.

[Written by MAL Rewrite]"
animeRelated	['Toki wo Kakeru Shoujo', 'Toki wo Kakeru Shoujo: Tokikake']
animeCharacters	['Konno, Makoto', 'Mamiya, Chiaki', 'Tsuda, Kousuke', 'Yoshiyama, Kazuko', 'Takase, Soujirou', 'Konno, Miyuki', 'Hayakawa, Yuri', 'Fujitani, Kaho', 'Fukushima-sensei']
animeVoices	['Naka, Riisa', 'Ishida, Takuya', 'Itakura, Mitsutaka', 'Hara, Sachie', 'Matsuda, Youji', 'Sekido, Yuki', 'Kakiuchi, Ayami', 'Tanimura, Mitsuki', 'Tachiki, Fumihiko']
animeStaff	[['Saitou, Yuuichirou', 'Producer'], ['Inoue, Shinichiro', 'Producer'], ['Satou, Hiroki', 'Assistant Producer'], ['Hosoda, Mamoru', 'Director']]
