animeTitle	Ano Ko ni 1000%
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.15
animeUsers	1090
animeRank	
animePopularity	9197
animeDescription	"Ano Ko ni 1000% is a high school love story. Azusa Kawahara is the soccer team manager, and her love for childhood playmate Ikumi is mutual. Although the whole school knew what was happening between Azusa and Ikumi, there were rivals who came between them.

(Source: Wikipedia)"
animeRelated	['Ano Ko ni 1000%']
animeCharacters	['Kawahara, Azusa', 'Morisaki, Ikumi', 'Kanda, Tamotsu']
animeVoices	['Onodera, Keiko', 'Anbe, Atsushi', 'Horimoto, Hitoshi']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Kitagawa, Miyuki', 'Original Creator'], ['Harada, Souichirou', 'Music'], ['Izawa, Harumi', 'Key Animation, Animation Director, Character Design']]
