animeTitle	Bakumatsu Gijinden Roman
animeType	TV
animeNumEpisode	12
releaseDate	2013-01-08 00:00:00
endDate	2013-03-26 00:00:00
animeNumMembers	10291
animeScore	6.14
animeUsers	3671
animeRank	7961
animePopularity	5247
animeDescription	"The stage is the close of the Edo period, an age when, not unlike our own time, both natural and man-made disasters left chaos in their wake. Manjiro makes a living helping the people of the troubled capital city, but behind the scenes, he also works in secret to take back precious belongings stolen from the people by unjust political powers and conspiratorial menaces. The people call him ""Get-backer Roman.""

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Koharu', 'Roman', 'Banya, Kanade', 'Perry, Matthew', 'Kobayakawa', 'Masuda', 'Irie', 'Nagai', 'Abe, Chikara', 'Seibei']
animeVoices	['Kitamura, Eri', 'Nakai, Kazuya', 'Sudou, Saori', 'Yasumoto, Hiroki', 'Toochika, Kouichi', 'Tokumoto, Yukitoshi', 'Hishiba, Tomoyasu', 'Ichijo, Kazuya', 'Tajiri, Hiroaki', 'Inada, Tetsu']
animeStaff	[['Ogura, Hirofumi', 'Director'], ['Kawazoe, Kengo', 'Sound Director'], ['Egami, Kiyoshi', 'Episode Director, Storyboard'], ['Harada, Nana', 'Episode Director']]
