animeTitle	b'Muumin (1972)'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	656
animeRank	
animePopularity	
animeDescription	b'A remake of the 1969-70 Moomin series.  This version is more closely based on the books by the Finnish illustrator and writer Tove Jansson.'
animeRelated	[b'Tanoshii Muumin Ikka', b'Muumin']
animeCharacters	[b'Snufkin', b'Moomintroll', b'Little My', b'Moominpappa', b'Moominmamma', b'Sniff', b'Floren', b'The Groke', b'Stinky', b'Hemulen']
animeVoices	[b'\nNishimoto, Hiroyuki\nJapanese\n', b'\nKishida, Kyouko\nJapanese\n', b'\nHori, Junko\nJapanese\n', b'\nTakagi, Hitoshi\nJapanese\n', b'\nTani, Ikuko\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nMutou, Reiko\nJapanese\n', b'\nTakiguchi, Junpei\nJapanese\n', b'\nOtsuka, Chikao\nJapanese\n', b'\nAmenomori, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRintaro\n\nEpisode Director\n\n', b'\nHiguchi, Masakazu\n\nEpisode Director\n\n', b'\nFujikawa, Keisuke\n\nScript, Screenplay\n\n', b'\nTashiro, Junji\n\nScript\n\n']
