animeTitle	Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru
animeType	Special
animeNumEpisode	1
releaseDate	2015-04-03 00:00:00
endDate	
animeNumMembers	34098
animeScore	8.1
animeUsers	15033
animeRank	425
animePopularity	3088
animeDescription	"Bundled with limited edition of the 58th Gintama manga volume.

The tagline for the bundled anime reads, ""It's time for all the Yorozuya members ...to wake up just one more time.""

(Source: MAL News, edited)"
animeRelated	"[""Gintama': Enchousen""]"
animeCharacters	['Sakata, Gintoki', 'Kagura', 'Shimura, Shinpachi', 'Katsura, Kotarou', 'Hijikata, Toushirou', 'Okita, Sougo', 'Hasegawa, Taizou', 'Elizabeth', 'Kondou, Isao', 'Sadaharu']
animeVoices	['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke', 'Ishida, Akira', 'Nakai, Kazuya', 'Suzumura, Kenichi', 'Tachiki, Fumihiko', 'Chiba, Susumu', 'Takahashi, Mikako']
animeStaff	[['Miyawaki, Chizuru', 'Director, Series Composition'], ['Sorachi, Hideaki', 'Original Creator'], ['Fujita, Youichi', 'Planning'], ['Sasaki, Youhei', 'Key Animation']]
